angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
135,rotated_directions,random,gd,8,0.376882,0.114238,0.382535,0.123445,0.053189,0.0267793,2.15516,1.08512
135,resampled_image,full_image,adam,8,0.785001,0.119632,0.781444,0.1168,0.369946,0.161214,15.0545,6.60428
135,resampled_image,full_image,gd,8,0.0561536,0.0610436,0.0562257,0.0614671,0.00763629,0.00726498,0.309667,0.294214
135,resampled_image,random,adam,8,0.813313,0.0892552,0.814836,0.0935796,0.271685,0.164958,11.0397,6.71418
135,resampled_image,random,gd,8,0.413495,0.147992,0.415271,0.152762,0.0646785,0.0309829,2.62082,1.25583
145,rotated_directions,full_image,adam,8,0.778465,0.10159,0.776496,0.13098,0.379066,0.275242,15.4799,11.3304
145,rotated_directions,full_image,gd,8,0.0616193,0.0630235,0.0615452,0.0633195,0.0110191,0.00915418,0.447089,0.370284
145,rotated_directions,random,adam,8,0.793145,0.0891174,0.806711,0.112109,0.211684,0.0869714,8.58787,3.53472
145,rotated_directions,random,gd,8,0.412571,0.125592,0.416096,0.132478,0.0652158,0.0384725,2.6427,1.55932
145,resampled_image,full_image,adam,8,0.772841,0.0907804,0.768863,0.111072,0.342208,0.244299,13.9507,10.0223
145,resampled_image,full_image,gd,8,0.160193,0.0324946,0.160316,0.0333576,0.0236596,0.0105514,0.958685,0.427482
145,resampled_image,random,adam,8,0.802737,0.109996,0.813257,0.121009,0.417332,0.356064,17.1527,14.9608
145,resampled_image,random,gd,8,0.341786,0.113329,0.347847,0.12137,0.0588505,0.0400436,2.38477,1.62299
155,rotated_directions,full_image,adam,8,0.72781,0.0843797,0.724918,0.091008,0.29853,0.237089,12.1698,9.76115
155,rotated_directions,full_image,gd,8,0.0493419,0.0451676,0.0492175,0.0453819,0.00853709,0.0070345,0.345836,0.285037
155,rotated_directions,random,adam,8,0.77933,0.0918949,0.796155,0.104096,0.236899,0.182419,9.6317,7.45045
155,rotated_directions,random,gd,8,0.360742,0.097758,0.359585,0.099729,0.0577405,0.0246586,2.33955,0.999271
155,resampled_image,full_image,adam,8,0.726004,0.0823224,0.722632,0.0844021,0.305664,0.236193,12.46,9.72008
155,resampled_image,full_image,gd,8,0.13622,0.0912726,0.136125,0.0921291,0.0215585,0.0168072,0.873446,0.680987
155,resampled_image,random,adam,8,0.77124,0.0928068,0.777065,0.0968466,0.295887,0.314841,12.1181,13.0643
155,resampled_image,random,gd,8,0.374058,0.135783,0.374824,0.144631,0.058764,0.0141059,2.38097,0.571608
165,rotated_directions,full_image,adam,8,0.634263,0.0911801,0.613681,0.0886428,0.183702,0.0502338,7.44873,2.03871
165,rotated_directions,full_image,gd,8,0.0626863,0.0631706,0.0627371,0.0636756,0.0109674,0.0094305,0.444188,0.382182
165,rotated_directions,random,adam,8,0.684417,0.0864685,0.695624,0.0896653,0.193636,0.0868,7.85466,3.52768
165,rotated_directions,random,gd,8,0.400218,0.0981883,0.397647,0.105479,0.0496442,0.0243231,2.01145,0.98567
165,resampled_image,full_image,adam,8,0.636161,0.0926358,0.618064,0.0910691,0.201018,0.0593592,8.15251,2.41101
165,resampled_image,full_image,gd,8,0.164762,0.0631242,0.165079,0.0635181,0.02825,0.0153162,1.14453,0.620588
165,resampled_image,random,adam,8,0.709519,0.109711,0.704384,0.114724,0.221296,0.193128,9.00203,7.90724
165,resampled_image,random,gd,8,0.387089,0.119966,0.391859,0.124387,0.0541143,0.0271198,2.1926,1.099
175,rotated_directions,full_image,adam,8,0.489484,0.113595,0.480824,0.100263,0.106586,0.0580483,4.32029,2.35529
175,rotated_directions,full_image,gd,8,0.0643229,0.0613442,0.0644674,0.061928,0.00892683,0.00722867,0.362132,0.292533
175,rotated_directions,random,adam,8,0.664203,0.0902141,0.670835,0.0979591,0.164103,0.0627435,6.65366,2.54628
175,rotated_directions,random,gd,8,0.367174,0.111813,0.36656,0.109469,0.0569336,0.0267767,2.30692,1.08508
175,resampled_image,full_image,adam,8,0.492273,0.118154,0.480797,0.106944,0.113583,0.0815658,4.60531,3.31227
